127.0.0.1 - - [09/Oct/2014:06:15:41 +0700] "GET / HTTP/1.1" 200 8706
127.0.0.1 - - [09/Oct/2014:06:15:41 +0700] "GET /css/font-awesome.min.css HTTP/1.1" 304 -
127.0.0.1 - - [09/Oct/2014:06:15:41 +0700] "GET /css/font-awesome.css HTTP/1.1" 304 -
127.0.0.1 - - [09/Oct/2014:06:15:41 +0700] "GET /css/bootstrap.css HTTP/1.1" 304 -
127.0.0.1 - - [09/Oct/2014:06:15:41 +0700] "GET /css/reset.css HTTP/1.1" 304 -
127.0.0.1 - - [09/Oct/2014:06:15:41 +0700] "GET /css/style.css HTTP/1.1" 304 -
127.0.0.1 - - [09/Oct/2014:06:15:41 +0700] "GET /img/logo_m.png HTTP/1.1" 304 -
127.0.0.1 - - [09/Oct/2014:06:15:41 +0700] "GET /img/banner.png HTTP/1.1" 304 -
127.0.0.1 - - [09/Oct/2014:06:15:41 +0700] "GET /img/app-icon-1.png HTTP/1.1" 304 -
127.0.0.1 - - [09/Oct/2014:06:15:41 +0700] "GET /img/sponsor-logo-1.png HTTP/1.1" 304 -
127.0.0.1 - - [09/Oct/2014:06:15:41 +0700] "GET /img/sponsor-logo-3.png HTTP/1.1" 304 -
127.0.0.1 - - [09/Oct/2014:06:15:41 +0700] "GET /img/sponsor-logo-2.png HTTP/1.1" 304 -
127.0.0.1 - - [09/Oct/2014:06:15:41 +0700] "GET /img/sponsor-logo-4.png HTTP/1.1" 304 -
